,,
,,
s-code,Rating,Review
5386,2,Best test ever.<br/><br/>Dal samosa<br/><br/>So testy<br/><br/>Cheese panner samosa <br/><br/>Delious<br/><br/>Locha<br/><br/>Nice .<br/><br/>Khaman <br/><br/>Outstanding .whole in Surat<br/><br/>Must try in this place 
5387,1,Dal samosa <br/>Simply superb<br/><br/>Cheese paneer samosa<br/><br/>Simply superb<br/><br/>Fried kaman<br/>Simply superb<br/><br/><br/>Over loaded khaman <br/><br/>So much amezing <br/><br/><br/>Good service <br/><br/>
5388,1,Nylon khaman <br/><br/>Delious<br/><br/><br/>Khaman <br/><br/>Delious<br/><br/><br/>Patudi <br/><br/>Amazing. Must try <br/><br/><br/>Cheese paneer samosa <br/><br/><br/>Too best. In whole surat<br/><br/><br/>Must again visit
5389,5,Idala <br/><br/>Soft and fluffy. Healthy and testy this idala dhokla is a perfect fit if you look forward to have less or no oil for the breakfast. Also very light on the pocket.<br/><br/><br/>Patudi<br/><br/>Best ever and so much yummy
5390,5,Good packed. Good food . Good experience. Surely visit again in this restaurant. .. delicious.Samosa simply superb.
5391,5,As per offer you didnt gave one on one free mayo pao.
5392,1,I was order for vadpav and dalvada but they haven't dalvada so without informing to me they are sent samosa and that much time for delivering so was ask to Zomato executive and they informed me for same like to they haven't same food so they are sent other option.....<br/>Without ask u like or not to change your serve
5393,5,i want my money back
5394,1,ek pan item ma levanu nathi.
5395,5,everything was tasteless except tomato poori vadapav was a joke&amp; instructions was not followed 
5396,5,Sorry to say bt this is really very bad in taste <br/><br/>It’s like not fresh food serve frm this Jalaram house
5397,5,Food was terrible everything was burnt no quality nothing
5398,1,tla hua besan vala mirchi bahut kam dete hai
5399,5,The delivery was too late and the food got cold
5400,5,very bad service. the order was delayed beyond tolerance. will never order from here again
5401,5,how bhakavas
5402,1,The order was so late that it took 1.15 mins to drop the food
5403,1,I didn't get what I wanted I ordered 1 Paneer chilly and 1 dry Manchurian but I get 2 Paneer chilly
5404,5,bakwas restaurant pl do not order this restaurant because food is very cold Nd very spicy
5405,5,"poorly packed, cold when arrived after 45 minutes."
5406,5,khaman is very bad locha also not fresh in khaman
5407,5,masala and oil was missing
5408,5,Pathatic taste … didn’t come up with my full order… when I argue about it they shout back on me tht “ek order diya to khareed nahi liya” totally disappointed…i will order from zomato again and i make sure nobody even choose zomato
5409,1,only 5 samaos in 199 ₹
5410,5,worst packaging. uncooked food . looting the costumers. worst services. if I get a chance to give minus rating I will definitely do it .. even I am posting same on Google<br/>guys please avoid this kind of resturants .<br/>Zomato please avoid this kind of restaurants which lowersthe standard of food and you valuable services.
5411,5,"how can we supposed to eat without spoon ,brain dead delivery guy and shopkeeper."
5412,1,well mannered delivery boy
5413,5,very bad taste and quality
5414,5,taste was pathetic and it was like old stuff
5415,5,"The owner is very rude. I called him regarding the bad food quality and then instead of accepting his mistake he said ""sir chlta hai itna hota hai itna headache lene ki jarurat nhi hai"" and then he cutted the call. The taste of Mayo pav was really very bad as it was smelling.<br/><br/> I have never seen such a rude food shop owner.<br/> "
5416,5,Need to improve packaging 
5417,5,missing item of 200ml sprite bottle in order
5418,5,"very poor taste, half cooked, smelt like humid smelly socks"
5419,5,"very bad no onions,,...,.........,...okokokokkokkkk"
5420,5,Its normal vada pav which is charged more on the name of mexican
5421,5,Very delay to prepare the order
5422,5,This is very ridiculous 
5423,5,low quantity 
5424,5,poor packaging
5425,1,read order perfect
5426,1,1st time I feel bed test of jani
5427,4,Fafda and samosa had poor quality. Fafda was very oily and samosas were soggy. patudi was nice.
5428,1,quantity is to less as compared to price
5429,1,Highly disappointed
5430,1,Poha was very dry and the quantity was very less. Price very high for such miserly quantity.
5431,1,Order half received
5432,2,little price is high otherwise great test
5433,5,Should have mentioned quality.
5434,3,very bad experience 
5435,5,Delicious
5436,5,paid extra for sev but sev mising...no sev with khaman
5437,5,worst taste of naacho locho and samosa as well
5438,5,Jani has been a brand operational in Surat from quite a long time but the things have become overpriced now. The quantity can be improved especially in the delivery. 
5439,5,"as usual, this restaurant delivers sub par or stale product for delivery orders"
5440,5,dilevery boy was sooo good
5441,5,Stale and very bad food
5442,5,"butter should be in dish, not in the container"
5443,5,supar
5444,5,Rates in Zomato from this outlet are higher than actual on counter rates
5445,5,"I have paid 124 rs for just 8 pieces, just ridiculous"
5446,1,nice
5447,5,not good
5448,5,food quantity not as per the rate and quality also not that great. not worthy to order from here
5449,1,Khamani was not fresh nor khaman both were badly stinking we threw
5450,5,they charged double and cheated us. Zomato sucks bad time
5451,3,I always use to have from same palace but today totaly diffrent taste
5452,5,Chutney was not good and very sweet<br/>Please you need to do it properly
5453,5,cheese samosa was not good at all. it was too much oily and not even crunchy.
5454,5,very less quantity as per price price is double and quantity is not even 50%<br/>
5455,1,we ordered 250 gms sev and they delivered 63 gms sev
5456,1,wrong item received me
5457,1,I asked for spoons with Orders but there are no spoons with order. Very disappointed. And very Bad services<br/>..... 
5458,2,order came too late and they didnt even provide spoons
5459,3,bakwas 
5460,5,"Delayed Order And Very Very Very Less Quantity Compare to Price, Quantity Like Zero Compare to Other Food Provider "
5461,1,its to late delivery from restaurant
5462,1,Just because I want to give my review that is why I am giving 1 star… otherwise they are not deserve only 1 star… rude staff… cheap food.. bad taste…
5463,1,paisa pramane quality nathi👎
5464,1,you decrease the quantity and proce is still the same it isn't fair I mean if you've lesser the quantity price should be reduced too otherwise do it like it was before and it'd be good and try to not take so much time to make it and let people wait thanks 
5465,5,parcel is open... no tap...
5466,1,Papdi 1 hi khousa ka bheja
5467,2,Kya yaar Itna Kharab Hutt
5468,2,Money west💰💰💰
5469,1,khawsa quantity shortage<br/>
5470,1,quanity bohot kam hai only 150ml
5471,2,cooking instruction not follewed 
5472,3,more than 1 hours timing for prepare my order &amp; also so much lower west taste &amp; aloo puri quality is lower to lower
5473,4,No spoon so what i do and how can i eat
5474,5,complain
5475,5,it took 1 hour to assign valvet and thn prepare food like 30 mins to deliver also 4 valvet was near by can't do delivery?.. and ur help chat talking to 3-4 ppl cant  still get my delivery on time..I didn't got support from support chat system also restaurant was non responsive to cook order on time and this valet system assigning late and any mistake happens ur chat support system credit d voucher.. seriously it's was waste on time to order from ds app n restaurant
5476,5,"took for an hour to prepare 3 khawsa, which in real life gets prepared in 5 mins, because its just a morning snack soup."
5477,1,"very very late, littrally did time pass and items not proper"
5478,1,Taste was stale and they give only 5 pieces in 50 Rs. Please do not cheat the online customers.
